title,normalized_title,portal_collections,search_collections,is_overlap
Stuart Area Sockeye Salmon Runs and Their Importance to the First Nations of the Upper Fraser River Watershed,stuart area sockeye salmon runs and their importance to the first nations of the upper fraser river watershed,Large Lakes Monitoring,,False
"Stomach Contents, Distribution, and Potential of Fish Predators to Consume Juvenile Chinook Salmon (Oncorhynchus tshawytscha) in the Nechako and Stuart Rivers, B.C.",stomach contents distribution and potential of fish predators to consume juvenile chinook salmon oncorhynchus tshawytscha in the nechako and stuart rivers bc,Large Lakes Monitoring,,False
Stock-Specific Migration Pathways of Juvenile Sockeye Salmon in British Columbia Waters and in the Gulf of Alaska,stockspecific migration pathways of juvenile sockeye salmon in british columbia waters and in the gulf of alaska,Large Lakes Monitoring,,False
Slim-Tumuch Fish-Forestry Study 1971 – 1975,slimtumuch fishforestry study 1971 1975,Large Lakes Monitoring,,False
"Size, Distribution and Abundance of Juvenile Chinook Salmon of the Nechako River, 2010",size distribution and abundance of juvenile chinook salmon of the nechako river 2010,Nechako Archives,,False
Site fidelity of spawning sockeye salmon (Oncorhynchus nerka W.) in the presence and absence of olfactory cues,site fidelity of spawning sockeye salmon oncorhynchus nerka w in the presence and absence of olfactory cues,Large Lakes Monitoring,,False
"Sediment-associated organopollutants, metals and nutrients in the Nechako River, British Columbia: a current study with a synthesis of historical data",sedimentassociated organopollutants metals and nutrients in the nechako river british columbia a current study with a synthesis of historical data,Large Lakes Monitoring,,True
Salmon Watershed Planning Profiles for the Fraser Basin within the Stuart/Takla Habitat Management Area,salmon watershed planning profiles for the fraser basin within the stuarttakla habitat management area,Large Lakes Monitoring,,False
"Review of Chinook Salmon Escapements in the Nechako River, British Columbia",review of chinook salmon escapements in the nechako river british columbia,Large Lakes Monitoring,,False
"Results of juvenile sockeye (Oncorhynchus nerka) trawl surveys in Stuart, Trembleur, and Takla lakes from 1996 to 1998",results of juvenile sockeye oncorhynchus nerka trawl surveys in stuart trembleur and takla lakes from 1996 to 1998,Large Lakes Monitoring,,False
"Results of a Three-Year (1996 to 1998) Limnological Study of Takla, Trembleur, and Stuart Lakes.",results of a threeyear 1996 to 1998 limnological study of takla trembleur and stuart lakes,Large Lakes Monitoring,,False
canadian journal of fisheries and aquatic sciences,canadian journal of fisheries and aquatic sciences,Large Lakes Monitoring,Journal Articles,False
Preliminary assessment of alkane and PAH data for sediment cores from six lakes in the Fraser River basin,preliminary assessment of alkane and pah data for sediment cores from six lakes in the fraser river basin,Large Lakes Monitoring,,False
plos one,plos one,Large Lakes Monitoring,,False
Polycyclic aromatic compounds in the Canadian Environment: Aquatic and terrestrial environments,polycyclic aromatic compounds in the canadian environment aquatic and terrestrial environments,Large Lakes Monitoring,,False
Paleolimnological analyses of cultural eutrophication patterns in British Columbia lakes,paleolimnological analyses of cultural eutrophication patterns in british columbia lakes,Large Lakes Monitoring,,False
PAHs in the Fraser River basin: a critical appraisal of PAH ratios as indicators of PAH source and composition,pahs in the fraser river basin a critical appraisal of pah ratios as indicators of pah source and composition,Large Lakes Monitoring,,False
Nechako River Summary of Existing Data,nechako river summary of existing data,Large Lakes Monitoring,,False
Nechako River Chinook Carcass Recovery 2009,nechako river chinook carcass recovery 2009,Large Lakes Monitoring,,False
transactions of the american fisheries society,transactions of the american fisheries society,IWRG paper,Journal Articles,False
Migratory Behavior of Sockeye Salmon Fry and Smolts,migratory behavior of sockeye salmon fry and smolts,Large Lakes Monitoring,,False
"Migration and Distribution of Juvenile Chinook Salmon in the Nechako River, British Columbia, 1996",migration and distribution of juvenile chinook salmon in the nechako river british columbia 1996,Large Lakes Monitoring,,False
environmental pollution barking essex 1987,environmental pollution barking essex 1987,Large Lakes Monitoring,,False
"Mercury exposure and reproduction in fish-eating birds breeding in the Pinchi Lake region, British Columbia, Canada",mercury exposure and reproduction in fisheating birds breeding in the pinchi lake region british columbia canada,Large Lakes Monitoring,Journal Articles,True
Limnological Survey of 35 Sockeye Salmon (Oncorhynchus nerka) Nursery Lakes in British Columbia and the Yukon Territory,limnological survey of 35 sockeye salmon oncorhynchus nerka nursery lakes in british columbia and the yukon territory,Large Lakes Monitoring,,False
Juvenile Salmonid Use of Freshwater Emergent Wetlands in the Floodplain and Its Implications for Conservation Management,juvenile salmonid use of freshwater emergent wetlands in the floodplain and its implications for conservation management,Large Lakes Monitoring,,False
Juvenile Salmon Winter Habitat Characteristics in Large Glacial Rivers: 2014-2015,juvenile salmon winter habitat characteristics in large glacial rivers 20142015,Large Lakes Monitoring,,False
"Initial Survey: Stomach Contents of Potential Fish Predators of Juvenile Chinook Salmon (Oncorhynchus tshawytscha) in the Nechako River, B.C.",initial survey stomach contents of potential fish predators of juvenile chinook salmon oncorhynchus tshawytscha in the nechako river bc,Large Lakes Monitoring,,False
Inferred Changes in Chinook Cover Habitat Suitability in Nechako River (Reaches 5-7) Due to Flow Reduction,inferred changes in chinook cover habitat suitability in nechako river reaches 57 due to flow reduction,Large Lakes Monitoring,,False
Indicators of Status and Benchmarks for Conservation Units in Canada's Wild Salmon Policy,indicators of status and benchmarks for conservation units in canadas wild salmon policy,Large Lakes Monitoring,,False
"Impacts of variability and trends in runoff and water temperature on salmon migration in the Fraser River Basin, Canada",impacts of variability and trends in runoff and water temperature on salmon migration in the fraser river basin canada,Large Lakes Monitoring,Journal Articles,True
"Identifying Temperature Thresholds Associated with Fish Community Changes in British Columbia, Canada, to Support Identification of Temperature Sensitive Streams",identifying temperature thresholds associated with fish community changes in british columbia canada to support identification of temperature sensitive streams,Large Lakes Monitoring,,False
science of the total environment,science of the total environment,Large Lakes Monitoring,,False
High resolution measurement of bedload transport,high resolution measurement of bedload transport,Large Lakes Monitoring,,True
journal of the fisheries research board of canada,journal of the fisheries research board of canada,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,False
General Effects of Climate Change on Arctic Fishes and Fish Populations,general effects of climate change on arctic fishes and fish populations,Large Lakes Monitoring,,False
Ft St James District: Review of Fisheries Sensitive Watershed Candidates for the Stuart-Takla Watershed,ft st james district review of fisheries sensitive watershed candidates for the stuarttakla watershed,Large Lakes Monitoring,,False
Fraser River sockeye salmon productivity and climate: A re-analysis that avoids an undesirable property of Ricker’s curve,fraser river sockeye salmon productivity and climate a reanalysis that avoids an undesirable property of rickers curve,Large Lakes Monitoring,,False
Fraser Lake Important Bird Area Conservation Plan,fraser lake important bird area conservation plan,Large Lakes Monitoring,,False
"Fish Weirs and an Interior Salmon Fishery on the Nautley River, Central British Columbia",fish weirs and an interior salmon fishery on the nautley river central british columbia,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,True
Fish movement and migration studies in the Laurentian Great Lakes: Research trends and knowledge gaps,fish movement and migration studies in the laurentian great lakes research trends and knowledge gaps,Large Lakes Monitoring,,False
Finger-Tatuk Provincial Park Monitoring Plan Framework and Protocols,fingertatuk provincial park monitoring plan framework and protocols,Large Lakes Monitoring,,False
river research and applications,river research and applications,Large Lakes Monitoring,,False
Factors Limiting Juvenile Sockeye Production and Enhancement Potential for Selected BC Nursery Lakes,factors limiting juvenile sockeye production and enhancement potential for selected bc nursery lakes,Large Lakes Monitoring,,False
american fisheries society symposium,american fisheries society symposium,Large Lakes Monitoring,,False
Extensive use of the Fraser River basin as winter habitat by juvenile chinook salmon (Oncorhynchus tshawytscha),extensive use of the fraser river basin as winter habitat by juvenile chinook salmon oncorhynchus tshawytscha,Large Lakes Monitoring,,False
Experiments on Thermal Requirements for Growth and Food Conversion Efficiency of Juvenile Chinook Salmon (Oncorhynchus tshawytscha),experiments on thermal requirements for growth and food conversion efficiency of juvenile chinook salmon oncorhynchus tshawytscha,Large Lakes Monitoring,,False
"Experimental evidence of homing to site of incubation by mature sockeye salmon, Oncorhynchus nerka",experimental evidence of homing to site of incubation by mature sockeye salmon oncorhynchus nerka,Large Lakes Monitoring,,False
Evolutionary responses by native species to major anthropogenic changes to their ecosystems: Pacific salmon in the Columbia River hydropower system,evolutionary responses by native species to major anthropogenic changes to their ecosystems pacific salmon in the columbia river hydropower system,Large Lakes Monitoring,,False
Evolutionary consequences of habitat loss for Pacific anadromous salmonids,evolutionary consequences of habitat loss for pacific anadromous salmonids,Large Lakes Monitoring,,False
Energy expenditures during reproduction by sockeye salmon (Oncorhynchus nerka),energy expenditures during reproduction by sockeye salmon oncorhynchus nerka,Large Lakes Monitoring,,False
Evidence for temperature-dependent sex determination in sockeye salmon (Oncorhynchus nerka),evidence for temperaturedependent sex determination in sockeye salmon oncorhynchus nerka,Large Lakes Monitoring,,True
Effects of river temperature and climate warming on stock-specific survival of adult migrating Fraser River sockeye salmon (Oncorhynchus nerka),effects of river temperature and climate warming on stockspecific survival of adult migrating fraser river sockeye salmon oncorhynchus nerka,Large Lakes Monitoring,Journal Articles,True
Effects of climate change and wildfire on stream temperatures and salmonid thermal habitat in a mountain river network,effects of climate change and wildfire on stream temperatures and salmonid thermal habitat in a mountain river network,Large Lakes Monitoring,,False
"Ecological interactions between juveniles of reproductively isolated anadromous and non-anadromous morphs of sockeye salmon, Oncorhynchus nerka, sharing the same nursery lake",ecological interactions between juveniles of reproductively isolated anadromous and nonanadromous morphs of sockeye salmon oncorhynchus nerka sharing the same nursery lake,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,True
"Do network relationships matter? Comparing network and instream habitat variables to explain densities of juvenile coho salmon (Oncorhynchus kisutch) in mid-coastal Oregon, USA",do network relationships matter comparing network and instream habitat variables to explain densities of juvenile coho salmon oncorhynchus kisutch in midcoastal oregon usa,Large Lakes Monitoring,,False
"Development and Application of a Large-Scale, Physically Based, Distributed Suspended Sediment Transport Model on the Fraser River Basin, British Columbia, Canada",development and application of a largescale physically based distributed suspended sediment transport model on the fraser river basin british columbia canada,Large Lakes Monitoring,,False
"Determining contemporary and historical sediment sources in a large drainage basin impacted by cumulative effects: the regulated Nechako River, British Columbia, Canada",determining contemporary and historical sediment sources in a large drainage basin impacted by cumulative effects the regulated nechako river british columbia canada,Resources for Import (Christiana),,True
Dead fish swimming: a review of research on the early migration and high premature mortality in adult Fraser River sockeye salmon Oncorhynchus nerka,dead fish swimming a review of research on the early migration and high premature mortality in adult fraser river sockeye salmon oncorhynchus nerka,Large Lakes Monitoring,,False
Evidence for Sympatric Genetic Divergence of Anadromous and Nonanadromous Morphs of Sockeye Salmon (Oncorhynchus nerka),evidence for sympatric genetic divergence of anadromous and nonanadromous morphs of sockeye salmon oncorhynchus nerka,"Sample 1 (Jan 10th, 2022); MP-JD Saturation Search (Journals only); Resources for Import (Jonathan)",Journal Articles,True
Estimating the 1995 Fraser River Sockeye Salmon (Oncorhynchus nerka) Escapement,estimating the 1995 fraser river sockeye salmon oncorhynchus nerka escapement,Large Lakes Monitoring,,False
"Epizootiology of Parvicapsula minibicornis in Fraser River sockeye salmon, Oncorhynchus nerka (Walbaum)",epizootiology of parvicapsula minibicornis in fraser river sockeye salmon oncorhynchus nerka walbaum,Large Lakes Monitoring,,False
Contrasting Landscape Influences on Sediment Supply and Stream Restoration Priorities in Northern Fennoscandia (Sweden and Finland) and Coastal British Columbia,contrasting landscape influences on sediment supply and stream restoration priorities in northern fennoscandia sweden and finland and coastal british columbia,Large Lakes Monitoring,,False
"Contaminants in white sturgeon (Acipenser transmontanus) from the upper Fraser River, British Columbia, Canada",contaminants in white sturgeon acipenser transmontanus from the upper fraser river british columbia canada,Large Lakes Monitoring,,True
"Contaminants in Ospreys from the Pacific Northwest: II. Organochlorine Pesticides, Polychlorinated Biphenyls, and Mercury, 1991–1997",contaminants in ospreys from the pacific northwest ii organochlorine pesticides polychlorinated biphenyls and mercury 19911997,Large Lakes Monitoring,,False
Contaminants in Bed Sediments from 15 Reaches of the Fraser River Basin,contaminants in bed sediments from 15 reaches of the fraser river basin,Large Lakes Monitoring,,False
"Climate change and water at Stellat'en First Nation, British Columbia, Canada: Insights from western science and traditional knowledge",climate change and water at stellaten first nation british columbia canada insights from western science and traditional knowledge,Large Lakes Monitoring,Journal Articles; Subsearch AH,True
Chinook and Sockeye Salmon Conservation in the Netʃa Koh (Nechako) River in Northern BC,chinook and sockeye salmon conservation in the netʃa koh nechako river in northern bc,Large Lakes Monitoring,,False
Chilako River-Nechako Official Community Plan,chilako rivernechako official community plan,Large Lakes Monitoring,,False
Census vs. effective population size in chinook salmon: large- and small-scale environmental perturbation effects,census vs effective population size in chinook salmon large and smallscale environmental perturbation effects,Large Lakes Monitoring,Journal Articles,True
Caveats on the use of paleolimnology to infer Pacific salmon returns,caveats on the use of paleolimnology to infer pacific salmon returns,Large Lakes Monitoring,,True
Burns and Decker Lakes Draft Management Plan,burns and decker lakes draft management plan,Large Lakes Monitoring,,False
"""Anticipated Benefits from the Proposed Cold Water Release Facility at Kenney Dam: Draft #4"" prepared by the Fraser Basin Council",anticipated benefits from the proposed cold water release facility at kenney dam draft 4 prepared by the fraser basin council,Resources for Import (Christiana),Other non-journal sources,True
"Nechako Enhancement Society, ""Chapter 4: Total Gas Pressure Effects on Fish"" from ""Kenney Dam Cold Water Release Facility Interim Evaluation Report""",nechako enhancement society chapter 4 total gas pressure effects on fish from kenney dam cold water release facility interim evaluation report,Resources for Import (Christiana),Other non-journal sources,True
"Water Release Facility at Kenney Dam - Correspondence, Presentations and Reports",water release facility at kenney dam correspondence presentations and reports,Resources for Import (Christiana),Other non-journal sources,True
"Nechako Enhancement Society ""Kenney Dam Cold Water Release Facility: Addendum to April 2008 Interim Report""",nechako enhancement society kenney dam cold water release facility addendum to april 2008 interim report,Resources for Import (Christiana),Other non-journal sources,True
"""Kenney Dam Cold Water Release Facility Memorandum on Costs"" prepared by Wilson Hydrotechnical Services",kenney dam cold water release facility memorandum on costs prepared by wilson hydrotechnical services,Resources for Import (Christiana),,False
"""Summary of Anticipated Benefits of a Cold Water Release Facility at Kenney Dam Based on Studies to Date"" prepared by the Nechako Enhancement Society",summary of anticipated benefits of a cold water release facility at kenney dam based on studies to date prepared by the nechako enhancement society,Resources for Import (Christiana),Other non-journal sources,True
"""Water Release Facility at Kenney Dam Updated Conceptual Layout and Cost Estimate""",water release facility at kenney dam updated conceptual layout and cost estimate,4. Uploaded Resources (in the Nechako Portal); Subsurface papers; Nechako Lit Review Master List,Other non-journal sources,True
"""Backgrounder: Potential Downstream Hydrographs from Alternate Water Release Facilities at Kenney Dam"" prepared by Nechako Enhancement Society",backgrounder potential downstream hydrographs from alternate water release facilities at kenney dam prepared by nechako enhancement society,Resources for Import (Christiana),Other non-journal sources,True
"Nechako Enhancement Society - ""Kenney Dam Cold Water Release Facility Interim Report, 2002-2007""",nechako enhancement society kenney dam cold water release facility interim report 20022007,Resources for Import (Christiana),Other non-journal sources,True
canadian broadcasting corporation cbc,canadian broadcasting corporation cbc,Resources for Import (Christiana),,False
"""Conceptual Alternatives for a Release Facility at Kenney Dam: An Interim Report of the Kenney Dam Release Facility Working Group""",conceptual alternatives for a release facility at kenney dam an interim report of the kenney dam release facility working group,Resources for Import (Christiana),Other non-journal sources,True
"""Kenney Dam Release Facility: Evaluation of the Effect of Operation of a Proposed Kenney Dam Water Release Facility on Cooling Water Releases and Nechako River Temperatures""",kenney dam release facility evaluation of the effect of operation of a proposed kenney dam water release facility on cooling water releases and nechako river temperatures,Resources for Import (Christiana),Other non-journal sources,True
Home to the Nechako: the river and the land,home to the nechako the river and the land,IWRG paper,,False
"Nechako Watershed Council - Evaluation of Benefits of a Water Release Facility at Kenney Dam, Correspondence and Proposals, 2001-2002",nechako watershed council evaluation of benefits of a water release facility at kenney dam correspondence and proposals 20012002,Resources for Import (Christiana),Other non-journal sources,True
"Nechako Watershed Council - Executive Summary: Work Completed Towards a Water Release Facility at Kenney Dam, 2001-2009",nechako watershed council executive summary work completed towards a water release facility at kenney dam 20012009,Resources for Import (Christiana),Other non-journal sources,True
"""Water Release Facility at Kenney Dam: Alternative Concept Layout, Construction Planning and Cost"" by SNC Lavalin",water release facility at kenney dam alternative concept layout construction planning and cost by snc lavalin,Resources for Import (Christiana),Other non-journal sources,True
Kenney Dam,kenney dam,Resources for Import (Christiana),,False
NSERC-RTC-UNBC-IRC: Watershed,nsercrtcunbcirc watershed,Resources for Import (Christiana),,False
(3323) Nechako Reservoir - draft November2021 - YouTube,3323 nechako reservoir draft november2021 youtube,Resources for Import (Christiana),,False
"ECOLOGICAL INTERACTIONS IN THE FLOODED LITTORAL ZONE OF RESERVOIRS: THE IMPORTANCE AND ROLE OF SUBMERGED TERRESTRIAL VEGETATION WITH SPECIAL REFERENCE TO FISH, FISH HABITAT AND FISHERIES IN THE NECHAKO RESERVOIR OF BRITISH COLUMBIA, CANADA",ecological interactions in the flooded littoral zone of reservoirs the importance and role of submerged terrestrial vegetation with special reference to fish fish habitat and fisheries in the nechako reservoir of british columbia canada,Resources for Import (Christiana),,False
Briefing Document for the Nechako Watershed Council re: Assessment of Options for a Water Release Facility at Kenney Dam prepared by Triton Environmental Consultants,briefing document for the nechako watershed council re assessment of options for a water release facility at kenney dam prepared by triton environmental consultants,Resources for Import (Christiana),Other non-journal sources,True
Nechako Reservoir - draft November2021,nechako reservoir draft november2021,Resources for Import (Christiana),,False
Court rejects First Nations' bid to change flow of river to alleviate damage caused by northern B.C. dam | CBC News,court rejects first nations bid to change flow of river to alleviate damage caused by northern bc dam cbc news,Resources for Import (Christiana),,False
A Review of the Nechako River Watershed,a review of the nechako river watershed,Nechako Archives,,False
wwfca,wwfca,Resources for Import (Christiana),,False
bc mining law reform,bc mining law reform,Resources for Import (Lisa),,False
This Week in History Season 2 Episode 12 - Kenney Dam,this week in history season 2 episode 12 kenney dam,Resources for Import (Lisa),,False
Nechako Survey - (Historical Collection circa 1950),nechako survey historical collection circa 1950,Resources for Import (Lisa),,False
nechako environment and water stewardship society,nechako environment and water stewardship society,Resources for Import (Lisa),,False
nechako fisheries conservation program,nechako fisheries conservation program,Resources for Import (Lisa),,False
Northern BC Fish and Fish Habitat Inventories Library Archive Collection,northern bc fish and fish habitat inventories library archive collection,4. Uploaded Resources (in the Nechako Portal); Subsurface papers; Nechako Lit Review Master List,,False
BCUC Kemano Completion Project Review Library Archive Collection,bcuc kemano completion project review library archive collection,4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
Kemano Completion Project Dispute Library Archive Collection,kemano completion project dispute library archive collection,4. Uploaded Resources (in the Nechako Portal); Subsurface papers; Nechako Lit Review Master List,,False
Generator 4 Kemano Hydro-Electric Power Plant Library Archive Collection,generator 4 kemano hydroelectric power plant library archive collection,4. Uploaded Resources (in the Nechako Portal); Subsurface papers; Nechako Lit Review Master List,,False
Fraser Sockeye Salmon Escapement Inseason Updates,fraser sockeye salmon escapement inseason updates,4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
Nechako Environmental Coalition Library Archive Collection,nechako environmental coalition library archive collection,4. Uploaded Resources (in the Nechako Portal); Subsurface papers; Nechako Lit Review Master List,,False
conceptual alternatives for a release facility at kenney dam an interim report of the kenney dam release facility working group library archive,conceptual alternatives for a release facility at kenney dam an interim report of the kenney dam release facility working group library archive,4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
National Collaborating Centre for Indigenous Health Knowledge Resources and Publications,national collaborating centre for indigenous health knowledge resources and publications,4. Uploaded Resources (in the Nechako Portal); Subsurface papers; Nechako Lit Review Master List,,False
"Climate change and resource development impacts in watersheds: Insights from the Nechako River Basin, Canada",climate change and resource development impacts in watersheds insights from the nechako river basin canada,Nechako Lit Review Master List,,True
social science medicine,social science medicine,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Archives; Nechako Lit Review Master List,Journal Articles,False
ecological integrity law and governance,ecological integrity law and governance,Nechako Lit Review Master List,,False
health place,health place,Margot; IWRG paper,Journal Articles,False
"Exploring Climate Change, Ecosystems and Well-being Connections: Lessons Learned from the Application of a Geospatial Knowledge Exchange Tool in the Nechako Watershed",exploring climate change ecosystems and wellbeing connections lessons learned from the application of a geospatial knowledge exchange tool in the nechako watershed,Nechako Lit Review Master List,Other non-journal sources,True
challenges,challenges,Nechako Lit Review Master List,Journal Articles,False
Exploring Indigenous-led Collaborative Stewardship in a Watershed Context: Prespectives from the Nechako Headwaters,exploring indigenousled collaborative stewardship in a watershed context prespectives from the nechako headwaters,Nechako Lit Review Master List,Other non-journal sources,True
Scenarios of climate change and natural resource development: Complexity and uncertainty in the Nechako Watershed,scenarios of climate change and natural resource development complexity and uncertainty in the nechako watershed,IWRG paper,,True
"Climatic influences on forest fire and mountain pine beetle outbreaks and resulting runoff effects in large watersheds in British Columbia, Canada",climatic influences on forest fire and mountain pine beetle outbreaks and resulting runoff effects in large watersheds in british columbia canada,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,True
Linking Atmospheric Rivers to Annual and Extreme River Runoff in British Columbia and Southeastern Alaska,linking atmospheric rivers to annual and extreme river runoff in british columbia and southeastern alaska,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,Journal Articles,True
canadian water resources journal revue canadienne des ressources hydriques,canadian water resources journal revue canadienne des ressources hydriques,IWRG paper,,False
geophysical research letters,geophysical research letters,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,Journal Articles; Subsearch AH,False
Variability and trends of landfalling atmospheric rivers along the Pacific Coast of northwestern North America,variability and trends of landfalling atmospheric rivers along the pacific coast of northwestern north america,MP-JD Saturation Search (Journals only); 4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
"DFO FIA Sockeye Assessment Program, preliminary in-season data",dfo fia sockeye assessment program preliminary inseason data,4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
"Nechako River Alliance, Nechako Environmental Enhancement Fund, and the creation of the Nechako Watershed Council, 2000-2001",nechako river alliance nechako environmental enhancement fund and the creation of the nechako watershed council 20002001,4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
"Nechako River Alliance, Nechako Environmental Enhancement Fund, and the creation of the Nechako Watershed Council, 1998-1999",nechako river alliance nechako environmental enhancement fund and the creation of the nechako watershed council 19981999,4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
"Nechako Fisheries Conservation Program Airphoto Mosaics: Nechako River, Kenney Dam to Vanderhoof Library Archive",nechako fisheries conservation program airphoto mosaics nechako river kenney dam to vanderhoof library archive,4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
kenney dam release facility evaluation of the effect of operation of a proposed kenney dam water release facility on cooling water releases and nechako river temperatures library archive,kenney dam release facility evaluation of the effect of operation of a proposed kenney dam water release facility on cooling water releases and nechako river temperatures library archive,4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
Kemano Completion Project Dispute Collection,kemano completion project dispute collection,4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
"Exhibit 663 - Document by R.K. Helmet. al. of the Department of Fisheries and Oceans entitled ""A Review of the Nechako River Watershed""",exhibit 663 document by rk helmet al of the department of fisheries and oceans entitled a review of the nechako river watershed,4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
"Exhibit 294 - Table from the DFO documents provided for KCP Review entitled ""Value of Current Catch by Watershed ($1986)"" illustrating value of salmon from Nechako or its tributaries and Kemano River",exhibit 294 table from the dfo documents provided for kcp review entitled value of current catch by watershed 1986 illustrating value of salmon from nechako or its tributaries and kemano river,4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
Dr. Gordon Hartman,dr gordon hartman,4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
"Document by the International Pacific Salmon Fisheries Commission entitled ""A Review of the Sockeye Salmon Problems Created by the Alcan Project in the Nechako River Watershed""",document by the international pacific salmon fisheries commission entitled a review of the sockeye salmon problems created by the alcan project in the nechako river watershed,4. Uploaded Resources (in the Nechako Portal); Nechako Lit Review Master List,,False
Place names along the Nuxalk-Carrier Grease Trail,place names along the nuxalkcarrier grease trail,Websites,,False
upper fraser fisheries conservation alliance,upper fraser fisheries conservation alliance,Websites,,False
fnguidegeuoct2018pdf,fnguidegeuoct2018pdf,Reports,,False
