title,normalized_title,type,authors,journal,year,library
Three Years After Delgamuukw: The Continuing Battle Over Respect for First Nations Interests to Their Traditional Territories and Rights to Work Their Resources,three years after delgamuukw the continuing battle over respect for first nations interests to their traditional territories and rights to work their resources,Journal Article,"Mills, Antonia",Anthropology of Work Review,2000,Portal
"Putting ""forestry"" and ""community"" into First Nations' resource management",putting forestry and community into first nations resource management,Journal Article,"Booth, Annie L.",The Forestry Chronicle,1998,Portal
"The Birds and Mammals of the Vanderhoof Region, British Columbia",the birds and mammals of the vanderhoof region british columbia,Journal Article,"Munro, J. A.",American Midland Naturalist,1949,Portal
Increased biogas production in a wastewater treatment plant by anaerobic co-digestion of fruit and vegetable waste and sewer sludge – A full scale study,increased biogas production in a wastewater treatment plant by anaerobic codigestion of fruit and vegetable waste and sewer sludge a full scale study,Journal Article,"Park, Nathan D.; Thring, Ronald W.; Garton, Randy P.; Rutherford, Michael P.; Helle, Steve S.",Water Science and Technology,2011,Portal
Census vs. effective population size in chinook salmon: large- and small-scale environmental perturbation effects,census vs effective population size in chinook salmon large and smallscale environmental perturbation effects,Journal Article,"Shrimpton, J. Mark; Heath, Daniel D.",Molecular Ecology,2003,Portal
Between the commodity and the gift: the Coastal GasLink pipeline and the contested temporalities of Canadian and Witsuwit'en law,between the commodity and the gift the coastal gaslink pipeline and the contested temporalities of canadian and witsuwiten law,Journal Article,"McCreary, T",JOURNAL OF HUMAN RIGHTS AND THE ENVIRONMENT,0000,Portal
"Indigenous health organizations, Indigenous community resurgence, and the reclamation of place in urban areas",indigenous health organizations indigenous community resurgence and the reclamation of place in urban areas,Journal Article,"Nelson, SE; Wilson, K",CANADIAN GEOGRAPHER-GEOGRAPHE CANADIEN,0000,Portal
Carbon management and community-based action learning: a theory to work experience,carbon management and communitybased action learning a theory to work experience,Journal Article,"Booth, AL; Aben, K; Otter, B; Corrigall, T; Ray, C; Earley, S",ACTION LEARNING,2020,Portal
Remixed methodologies in community-based film research,remixed methodologies in communitybased film research,Journal Article,"McCreary, T; Murnaghan, AMF",CANADIAN GEOGRAPHIES-GEOGRAPHIES CANADIENNES,0000,Portal
The best laid plans: Impacts of politics on local climate change adaptation,the best laid plans impacts of politics on local climate change adaptation,Journal Article,"Picketts, IM",ENVIRONMENTAL SCIENCE & POLICY,0000,Portal
"Understanding barriers to health care access through cultural safety and ethical space: Indigenous people's experiences in Prince George, Canada",understanding barriers to health care access through cultural safety and ethical space indigenous peoples experiences in prince george canada,Journal Article,"Nelson, SE; Wilson, K",SOCIAL SCIENCE & MEDICINE,0000,Portal
Intraspecific differences in endurance swim performance and cardiac size in sockeye salmon (Oncorhynchus nerka) parr tested at three temperatures,intraspecific differences in endurance swim performance and cardiac size in sockeye salmon oncorhynchus nerka parr tested at three temperatures,Journal Article,"Eliason, EJ; Gale, MK; Whitney, CK; Lotto, A; Hinch, SG",CANADIAN JOURNAL OF ZOOLOGY,0000,Portal
Measuring food waste and creating diversion opportunities at Canada's Green University (TM),measuring food waste and creating diversion opportunities at canadas green university tm,Journal Article,"Rajan, J; Fredeen, AL; Booth, AL; Watson, M",JOURNAL OF HUNGER & ENVIRONMENTAL NUTRITION,2018,Portal
Co-managed research: non-Indigenous thoughts on an Indigenous toponymy project in northern British Columbia,comanaged research nonindigenous thoughts on an indigenous toponymy project in northern british columbia,Journal Article,"Heikkilä, Karen; Fondahl, Gail",Journal of Cultural Geography,2012,Portal
Optimal swimming speeds and forward-assisted propulsion: energy-conserving behaviours of upriver-migrating adult salmon,optimal swimming speeds and forwardassisted propulsion energyconserving behaviours of uprivermigrating adult salmon,Journal Article,"Hinch, Scott G; Rand, Peter S",Canadian Journal of Fisheries and Aquatic Sciences,2000,Portal
Optimizing Aerial Count Frequency for the Area-under-the-Curve Method of Estimating Escapement,optimizing aerial count frequency for the areaunderthecurve method of estimating escapement,Journal Article,"Hill, Ryan A.",North American Journal of Fisheries Management,1997,Portal
Importance of dose‐response model form in probabilistic risk assessment: A case study of health effects from methylmercury in fish,importance of doseresponse model form in probabilistic risk assessment a case study of health effects from methylmercury in fish,Journal Article,"Hill, Ryan A.; Hoover, Sara M.",Human and Ecological Risk Assessment: An International Journal,1997,Portal
Estimating risks from exposure to methylmercury: Application to first nations people in Canada,estimating risks from exposure to methylmercury application to first nations people in canada,Journal Article,"Hoover, Sara; Hill, Ryan; Watson, Tom","Water, Air, and Soil Pollution",1997,Portal
Linking breeding and wintering grounds of neotropical migrant songbirds using stable hydrogen isotopic analysis of feathers,linking breeding and wintering grounds of neotropical migrant songbirds using stable hydrogen isotopic analysis of feathers,Journal Article,"Hobson, K. A.; Wassenaar, Leonard I.",Oecologia,1996,Portal
"Application of a species distribution model to identify and manage bear den habitat in central British Columbia, Canada",application of a species distribution model to identify and manage bear den habitat in central british columbia canada,Journal Article,"Hodder, Dexter P.; Johnson, Chris J.; Rea, Roy V.; Zedrosser, Andreas",Wildlife Biology,2014,Portal
Is scientific inquiry incompatible with government information control?,is scientific inquiry incompatible with government information control,Journal Article,"Hutchings, J A; Walters, C; Haedrich, R L",Canadian Journal of Fisheries and Aquatic Sciences,1997,Portal
Exploring the economics of industrial ecology through case studies of industrial symbiosis in the forest industries of British Columbia and Scotland,exploring the economics of industrial ecology through case studies of industrial symbiosis in the forest industries of british columbia and scotland,Journal Article,"Jackson, Tony","Progress in Industrial Ecology, an International Journal",2005,Portal
"Consumption guideline concerning cadmium in moose meat in northern British Columbia, Canada",consumption guideline concerning cadmium in moose meat in northern british columbia canada,Journal Article,"Jin, Andrew; Joseph-Quinn, Kelly M.",International Journal of Circumpolar Health,2004,Portal
"Including aboriginal issues in forest planning: a case study in central interior British Columbia, Canada",including aboriginal issues in forest planning a case study in central interior british columbia canada,Journal Article,"Karjala, Melanie K.; Dewhurst, Stephen M.",Landscape and Urban Planning,2003,Portal
Quantifying patron time-use of a public library,quantifying patron timeuse of a public library,Journal Article,John Shepherd; Kaitlyn Vardy; Allan Wilson,Library Management,2015,Portal
"On the Changing Contribution of Snow to the Hydrology of the Fraser River Basin, Canada",on the changing contribution of snow to the hydrology of the fraser river basin canada,Journal Article,"Kang, Do Hyuk; Shi, Xiaogang; Gao, Huilin; Déry, Stephen J.",Journal of Hydrometeorology,2014,Portal
Criteria and indicators for sustainable forest planning: a framework for recording Aboriginal resource and social values,criteria and indicators for sustainable forest planning a framework for recording aboriginal resource and social values,Journal Article,"Karjala, Melanie K; Sherry, Erin E; Dewhurst, Stephen M",Forest Policy and Economics,2004,Portal
"An investigation into key market segments for Aboriginal tourism in northern British Columbia, Canada",an investigation into key market segments for aboriginal tourism in northern british columbia canada,Journal Article,"Kutzner, Diana; Wright, Pamela A.",Journal of Vacation Marketing,2010,Portal
Morphological effects of interbasin river diversions,morphological effects of interbasin river diversions,Journal Article,"Kellerhals, Rolf; Church, Michael; Davies, L. B.",Canadian Journal of Civil Engineering,1979,Portal
Common Visions: In fluences of the Nisga;a Final Agreement on Lheidli T'enneh Negotiations in the BC Treaty Process,common visions in fluences of the nisgaa final agreement on lheidli tenneh negotiations in the bc treaty process,Journal Article,"Krehbiel, Richard B.",International Journal on Minority and Group Rights,2004,Portal
"World's largest biofuel and pellet plants – geographic distribution, capacity share, and feedstock supply",worlds largest biofuel and pellet plants geographic distribution capacity share and feedstock supply,Journal Article,"Kuparinen, Katja; Heinimö, Jussi; Vakkilainen, Esa","Biofuels, Bioproducts and Biorefining",2014,Portal
Attributes of Woodland Caribou Migration Habitat in West-Central British Columbia,attributes of woodland caribou migration habitat in westcentral british columbia,Journal Article,"Lance, Art N.; Mills, Barry",Rangifer,1996,Portal
Place Identity in a Resource-Dependent Area of Northern British Columbia,place identity in a resourcedependent area of northern british columbia,Journal Article,"Larsen, Soren C.",Annals of the Association of American Geographers,2004,Portal
"In between worlds: place, experience, and research in Indigenous geography",in between worlds place experience and research in indigenous geography,Journal Article,"Larsen, Soren C.; Johnson, Jay T.",Journal of Cultural Geography,2012,Portal
Mountain pine beetle and forest carbon feedback to climate change,mountain pine beetle and forest carbon feedback to climate change,Journal Article,"Kurz, W. A.; Dymond, C. C.; Stinson, G.; Rampley, G. J.; Neilson, E. T.; Carroll, A. L.; Ebata, T.; Safranyik, L.",Nature,2008,Portal
Identifying tourists' preferences for Aboriginal tourism product features: implications for a northern First Nation in British Columbia,identifying tourists preferences for aboriginal tourism product features implications for a northern first nation in british columbia,Journal Article,"Kutzner, Diana; Wright, Pamela A.; Stark, Amelia",Journal of Ecotourism,2009,Portal
Damaged forests provide an opportunity to mitigate climate change,damaged forests provide an opportunity to mitigate climate change,Journal Article,"Lamers, Patrick; Junginger, Martin; Dymond, Caren C.; Faaij, André",GCB Bioenergy,2014,Portal
A Commentary on Environmental Impact Assessment for Large Projects Affecting Lakes and Streams,a commentary on environmental impact assessment for large projects affecting lakes and streams,Journal Article,"Larkin, P. A.",Canadian Journal of Fisheries and Aquatic Sciences,1984,Portal
"Regional Variations in Flow-Duration Curves for Rivers in British Columbia, Canada",regional variations in flowduration curves for rivers in british columbia canada,Journal Article,"LeBoutillier, David W.; Waylen, Peter R.",Physical Geography,1993,Portal
The Kemano hydro-electric development and associated Kitimat aluminium-reduction works,the kemano hydroelectric development and associated kitimat aluminiumreduction works,Journal Article,"Lawton, F. L.",Proceedings of the IEE - Part I: General,1954,Portal
The Agency of Place: Toward a More-Than-Human Geographical Self,the agency of place toward a morethanhuman geographical self,Journal Article,"Larsen, Soren C.; Johnson, Jay T.",GeoHumanities,2016,Portal
Local level criteria and indicator frameworks: A tool used to assess aboriginal forest ecosystem values,local level criteria and indicator frameworks a tool used to assess aboriginal forest ecosystem values,Journal Article,"Adam, M. C.; Kneeshaw, D.",Forest Ecology and Management,2008,Portal
"Recent (1995–1998) Canadian research on contemporary processes of river erosion and sedimentation, and river mechanics",recent 19951998 canadian research on contemporary processes of river erosion and sedimentation and river mechanics,Journal Article,"Ashmore, P.; Conly, F. M.; eBoer, D.; Martin, Y.; Petticrew, E.; Roy, A.",Hydrological Processes,2000,Portal
"Managing Relational Legacies: Lessons from British Columbia, Canada",managing relational legacies lessons from british columbia canada,Journal Article,"Baba, Sofiane; Raufflet, Emmanuel",Administrative Sciences,2014,Portal
Comparison of parasite fauna of juvenile sockeye salmon (Oncorhynchus nerka) from southern British Columbian and Washington State lakes,comparison of parasite fauna of juvenile sockeye salmon oncorhynchus nerka from southern british columbian and washington state lakes,Journal Article,"Bailey, R. E.; Margolis, L.",Canadian Journal of Zoology,1987,Portal
"Phyllodistomum umblae (Fabricius) (Digenea, Gorgoderidae) from British Columbia salmonids: a description based on light and scanning electron microscopy",phyllodistomum umblae fabricius digenea gorgoderidae from british columbia salmonids a description based on light and scanning electron microscopy,Journal Article,"Bakke, T. A.; Bailey, R. E.",Canadian Journal of Zoology,1987,Portal
Establishing Forest Cover on Winter Landings in the Central Interior of British Columbia,establishing forest cover on winter landings in the central interior of british columbia,Journal Article,"Arnott, J. T.; Carr, W. W.; Waines, A. C.",The Forestry Chronicle,1988,Portal
A Survey of the Parasites of Freshwater Fishes from the Mainland of British Columbia,a survey of the parasites of freshwater fishes from the mainland of british columbia,Journal Article,"Bangham, Ralph V.; Adams, James R.",Journal of the Fisheries Research Board of Canada,1954,Portal
"Effect of temperature and substrate on whole body cortisol and size of larval white sturgeon (Acipenser transmontanus Richardson, 1836)",effect of temperature and substrate on whole body cortisol and size of larval white sturgeon acipenser transmontanus richardson 1836,Journal Article,"Bates, L. C.; Boucher, M. A.; Shrimpton, J. M.",Journal of Applied Ichthyology,2014,Portal
A comparison of stock and individual identification for sockeye salmon (Oncorhynchus nerka) in British Columbia provided by microsatellites and single nucleotide polymorphisms,a comparison of stock and individual identification for sockeye salmon oncorhynchus nerka in british columbia provided by microsatellites and single nucleotide polymorphisms,Journal Article,"Beacham, Terry D.; McIntosh, B.; Wallace, C.",Canadian Journal of Fisheries and Aquatic Sciences,2010,Portal
Role of hydrologic information in stochastic dynamic programming: a case study of the Kemano hydropower system in British Columbia,role of hydrologic information in stochastic dynamic programming a case study of the kemano hydropower system in british columbia,Journal Article,"Desreumaux, Quentin; Côté, Pascal; Leconte, Robert",Canadian Journal of Civil Engineering,2014,Portal
Traditional Carrier Approaches to Mental Health,traditional carrier approaches to mental health,Journal Article,"Dobson, Christina; Schmidt, Glen",Canadian Journal of Community Mental Health,2015,Portal
Oxygen uptake in Pacific salmon Oncorhynchus spp.: when ecology and physiology meet,oxygen uptake in pacific salmon oncorhynchus spp when ecology and physiology meet,Journal Article,"Eliason, E. J.; Farrell, A. P.",Journal of Fish Biology,2016,Portal
A Mathematical Programming Model for the Management of a Renewable Resource System: The Kemano II Development Project,a mathematical programming model for the management of a renewable resource system the kemano ii development project,Journal Article,"Everitt, Robert R.; Sonntag, Nicholas C.; Puterman, Martin L.; Whalen, Patrick",Journal of the Fisheries Research Board of Canada,1978,Portal
"Geometry, evolution, and tectonic framework of the Skeena Fold Belt, north central British Columbia",geometry evolution and tectonic framework of the skeena fold belt north central british columbia,Journal Article,"Evenchick, Carol A.",Tectonics,1991,Portal
Pocahontas's Granddaughters: Spiritual Transition and Tradition of Carrier Women of British Columbia,pocahontass granddaughters spiritual transition and tradition of carrier women of british columbia,Journal Article,"Fiske, Jo-Anne",Ethnohistory,1996,Portal
Redd Site Selection and Spawning Habitat Use by Fall Chinook Salmon: The Importance of Geomorphic Features in Large Rivers,redd site selection and spawning habitat use by fall chinook salmon the importance of geomorphic features in large rivers,Journal Article,"Geist, David R.; Dauble, Dennis D.",Environmental Management,1998,Portal
Anti-Homophony Effects in Dakelh (Carrier) Valence Morphology,antihomophony effects in dakelh carrier valence morphology,Journal Article,"Gessner, Suzanne; Hansson, Gunnar Ólafur",Annual Meeting of the Berkeley Linguistics Society,2004,Portal
Smart Growth in Canada's Provincial North,smart growth in canadas provincial north,Journal Article,"Groulx, M; Kieta, K; Rempel, M; Horning, D; Gaudreau, K",PLANNING PRACTICE AND RESEARCH,0000,Portal
"First Nations Elders' perspectives of engagement in community programs in Nak'azdli Whut'en, British Columbia, Canada",first nations elders perspectives of engagement in community programs in nakazdli whuten british columbia canada,Journal Article,"Tonkin, R; Freeman, S; Martin, J; Ward, V; Skinner, K",CANADIAN JOURNAL OF PUBLIC HEALTH-REVUE CANADIENNE DE SANTE PUBLIQUE,0000,Portal
"The implications and challenges of First Nations forestry negotiations in British Columbia, Canada: The Tl'azt'en Nation experience",the implications and challenges of first nations forestry negotiations in british columbia canada the tlazten nation experience,Journal Article,"Pun, SB",JOURNAL OF SUSTAINABLE FORESTRY,2016,Portal
Atmospheric Rivers Increase Future Flood Risk in Western Canada's Largest Pacific River,atmospheric rivers increase future flood risk in western canadas largest pacific river,Journal Article,"Curry, C L; Islam, S U; Zwiers, F W; Déry, S J",Geophysical Research Letters,2019,Portal
Changing the Lens: Film as Action Research and Therapeutic Planning Practice,changing the lens film as action research and therapeutic planning practice,Journal Article,"Sandercock, Leonie; Attili, Giovanni",Journal of Planning Education and Research,2014,Portal
Ability of phabsim to predict chinook salmon spawning habitat,ability of phabsim to predict chinook salmon spawning habitat,Journal Article,"Shirvell, C. S.",Regulated Rivers: Research & Management,1989,Portal
Conifer Diet Choices Made by Mule Deer (Odocoileus hemionus) of North Central British Columbia During a Cafeteria-Style Feeding Trial,conifer diet choices made by mule deer odocoileus hemionus of north central british columbia during a cafeteriastyle feeding trial,Journal Article,"Rea, Roy V.; Hjeljord, Olav; Langen, Peter",Northwest Science,2017,Portal
Relationships between habitat characteristics and breeding population densities in sockeye salmon (Oncorhynchus nerka),relationships between habitat characteristics and breeding population densities in sockeye salmon oncorhynchus nerka,Journal Article,"Braun, Douglas C.; Reynolds, John D.",Canadian Journal of Fisheries and Aquatic Sciences,2011,Portal
The Hinterland Belt of the Canadian Cordillera: new data from northern and central British Columbia,the hinterland belt of the canadian cordillera new data from northern and central british columbia,Journal Article,"Monger, J. W. H.; Richards, T. A.; Paterson, I. A.",Canadian Journal of Earth Sciences,1978,Portal
"Mammoth from Babine Lake, British Columbia",mammoth from babine lake british columbia,Journal Article,"Harington, C. R.; Tipper, H. W.; Mott, R. J.",Canadian Journal of Earth Sciences,1974,Portal
Countergradient variation in carotenoid use between sympatric morphs of sockeye salmon (Oncorhynchus nerka) exposes nonanadromous hybrids in the wild by their mismatched spawning colour,countergradient variation in carotenoid use between sympatric morphs of sockeye salmon oncorhynchus nerka exposes nonanadromous hybrids in the wild by their mismatched spawning colour,Journal Article,"Craig, J. Kevin; Foote, Chris J.; Wood, Chris C.",Biological Journal of the Linnean Society,2005,Portal
Comparison of fecundity-length-latitude relationships between nonanadromous (kokanee) and anadromous sockeye salmon (Oncorhynchus nerka),comparison of fecunditylengthlatitude relationships between nonanadromous kokanee and anadromous sockeye salmon oncorhynchus nerka,Journal Article,"McGurk, M D",Canadian Journal of Zoology,2000,Portal
Kill the lake? kill the proposal: accommodating First Nations’ environmental values as a first step on the road to wellness,kill the lake kill the proposal accommodating first nations environmental values as a first step on the road to wellness,Journal Article,"Place, Jessica; Hanlon, Neil",GeoJournal,2011,Portal
"""Killing the Indian in the Child"": Death, Cruelty, and Subject-formation in the Canadian Indian Residential School System",killing the indian in the child death cruelty and subjectformation in the canadian indian residential school system,Journal Article,"Young, Bryanne",Mosaic: a journal for the interdisciplinary study of literature,2015,Portal
"Integrating sustainability concepts and First Nations values in an urban neighbourhood: a case study of Carney Hill neighbourhood, Prince George, British Columbia",integrating sustainability concepts and first nations values in an urban neighbourhood a case study of carney hill neighbourhood prince george british columbia,Journal Article,"Curry, John; Mynen, Tonianne",International Journal of Sustainable Society,2009,Portal
The Importance of Story-Telling: Research Protocols in Aboriginal Communities,the importance of storytelling research protocols in aboriginal communities,Journal Article,"Poff, Deborah C.",Journal of Empirical Research on Human Research Ethics,2006,Portal
"Analysis of HLA Class I and Class II in Na-Dene and Amerindian Populations from British Columbia, Canada",analysis of hla class i and class ii in nadene and amerindian populations from british columbia canada,Journal Article,"Monsalve, Maria Victoria; Edin, Glenn; Devine, Dana V",Human Immunology,1998,Portal
Effects of substrate condition on habitat use and survival by white sturgeon (Acipenser transmontanus) larvae and potential implications for recruitment,effects of substrate condition on habitat use and survival by white sturgeon acipenser transmontanus larvae and potential implications for recruitment,Journal Article,"McAdam, Steven O.",Canadian Journal of Fisheries and Aquatic Sciences,2011,Portal
Carrier herbal medicine: an evaluation of the antimicrobial and anticancer activity in some frequently used remedies,carrier herbal medicine an evaluation of the antimicrobial and anticancer activity in some frequently used remedies,Journal Article,"Ritch-Krc, E. M.; Turner, N. J.; Towers, G. H. N.",Journal of Ethnopharmacology,1996,Portal
Chinook salmon (Oncorhynchus tshawytscha) spawner characteristics in relation to redd physical features,chinook salmon oncorhynchus tshawytscha spawner characteristics in relation to redd physical features,Journal Article,"Neilson, John D.; Banford, Christine E.",Canadian Journal of Zoology,1983,Portal
Conflicts among recreational resource users-the case of non-Canadian participation in the regional sport fisheries of British Columbia and the Yukon,conflicts among recreational resource usersthe case of noncanadian participation in the regional sport fisheries of british columbia and the yukon,Journal Article,"Sinclair, William F.; Reid, David J.",The Annals of Regional Science,1974,Portal
Nazko cone: a Quaternary volcano in the eastern Anahim Belt,nazko cone a quaternary volcano in the eastern anahim belt,Journal Article,"Souther, J. G.; Clague, J. J.; Mathewes, R. W.",Canadian Journal of Earth Sciences,1987,Portal
"Regionalization of water quality in the upper fraser river basin, British Columbia",regionalization of water quality in the upper fraser river basin british columbia,Journal Article,"Whitfield, Paul H",Water Research,1983,Portal
Prediction and assessment of potential effects of global environmental change on freshwater sport fish habitat in British Columbia,prediction and assessment of potential effects of global environmental change on freshwater sport fish habitat in british columbia,Journal Article,"Northcote, T. G.",GeoJournal,1992,Portal
An overview of the forage resource and beef production on Crown land in British Columbia,an overview of the forage resource and beef production on crown land in british columbia,Journal Article,"Wikeem, B. M.; Mclean, A.; Quinton, D.; Bawtree, A.",Canadian Journal of Animal Science,1993,Portal
"Acid volcanism and its relationship to the tectonic history of the Cordillera of British Columbia, Canada",acid volcanism and its relationship to the tectonic history of the cordillera of british columbia canada,Journal Article,"Souther, J. G.",Bulletin Volcanologique,1967,Portal
Dynamics of Native Indian Food Fisheries on Salmon in British Columbia,dynamics of native indian food fisheries on salmon in british columbia,Journal Article,"Peterman, Randall M.",Canadian Journal of Fisheries and Aquatic Sciences,1980,Portal
"Individual variation in dispersal behaviour of newly emerged chinook salmon (Oncorhynchus tshawytscha) from the Upper Fraser River, British Columbia",individual variation in dispersal behaviour of newly emerged chinook salmon oncorhynchus tshawytscha from the upper fraser river british columbia,Journal Article,"Bradford, M J; Taylor, G C",Canadian Journal of Fisheries and Aquatic Sciences,1997,Portal
Coarse woody debris in sub-boreal spruce forests of west-central British Columbia,coarse woody debris in subboreal spruce forests of westcentral british columbia,Journal Article,"Clark, D F; Kneeshaw, D D; Burton, P J; Antos, J A",Canadian Journal of Forest Research,1998,Portal
"Neogene Chilcotin basalts in south-central British Columbia: geology, ages, and geomorphic history",neogene chilcotin basalts in southcentral british columbia geology ages and geomorphic history,Journal Article,"Mathews, W. H.",Canadian Journal of Earth Sciences,1989,Portal
Using a Laboratory-Based Growth Model to Estimate Mass- and Temperature-Dependent Growth Parameters across Populations of Juvenile Chinook Salmon,using a laboratorybased growth model to estimate mass and temperaturedependent growth parameters across populations of juvenile chinook salmon,Journal Article,"Perry, Russell W.; Plumb, John M.; Huntington, Charles W.",Transactions of the American Fisheries Society,2015,Portal
"Pipelines, permits, and protests: Carrier Sekani encounters with the Enbridge Northern Gateway Project",pipelines permits and protests carrier sekani encounters with the enbridge northern gateway project,Journal Article,"McCreary, Tyler A.; Milligan, Richard A.",Cultural Geographies,2014,Portal
Engaging aboriginal populations in collaborative planning: an evaluation of a two-tiered collaborative planning model for land and resource management,engaging aboriginal populations in collaborative planning an evaluation of a twotiered collaborative planning model for land and resource management,Journal Article,"Morton, Cedar; Gunton, Thomas I.; Day, J. C.",Journal of Environmental Planning and Management,2012,Portal
“There's a Conflict Right There”: Integrating Indigenous Community Values into Commercial Forestry in the Tl'azt'en First Nation,theres a conflict right there integrating indigenous community values into commercial forestry in the tlazten first nation,Journal Article,"Booth, Annie L.; Skelton, Norman W.",Society &amp; Natural Resources,2011,Portal
Integrated river basin management: A case for collaboration,integrated river basin management a case for collaboration,Journal Article,"Watson, Nigel",International Journal of River Basin Management,2004,Portal
Resolving Mobility Constraints Impeding Rural Seniors; Access to Regionalized Services,resolving mobility constraints impeding rural seniors access to regionalized services,Journal Article,"Ryser, Laura; Halseth, Greg",Journal of Aging &amp; Social Policy,2012,Portal
Neoliberalism and the Politics of Alternatives: Community Forestry in British Columbia and the United States,neoliberalism and the politics of alternatives community forestry in british columbia and the united states,Journal Article,"McCarthy, James",Annals of the Association of American Geographers,2006,Portal
"Modelling spatial and temporal variability of hydrologic impacts of climate change in the Fraser River basin, British Columbia, Canada",modelling spatial and temporal variability of hydrologic impacts of climate change in the fraser river basin british columbia canada,Journal Article,"Shrestha, Rajesh R.; Schnorbus, Markus A.; Werner, Arelia T.; Berland, Anne J.",Hydrological Processes,2012,Portal
"Community forestry in British Columbia, Canada: the role of local community support and participation",community forestry in british columbia canada the role of local community support and participation,Journal Article,"McIlveen, Kirsten; Bradshaw, Ben",Local Environment,2009,Portal
The distribution and morphometry of lakes and reservoirs in British Columbia: a provincial inventory,the distribution and morphometry of lakes and reservoirs in british columbia a provincial inventory,Journal Article,"Schiefer, Erik; Klinkenberg, Brian",Canadian Geographer / Le Géographe canadien,2004,Portal
"Occurrence of the eyefluke, Diplostomum (Diplostomum) baeri bucculentum Dubois et Rausch, 1948, in salmonid fishes of northern British Columbia",occurrence of the eyefluke diplostomum diplostomum baeri bucculentum dubois et rausch 1948 in salmonid fishes of northern british columbia,Journal Article,"Ching, Hilda Lei",Canadian Journal of Zoology,1985,Portal
Seasonal use by birds of stream-side riparian habitat in coniferous forest of northcentral British Columbia,seasonal use by birds of streamside riparian habitat in coniferous forest of northcentral british columbia,Journal Article,"Wiebe, Karen L.; Martin, Kathy",Ecography,1998,Portal
Indigenous Ecotourism in Central British Columbia: The Potential for Building Capacity in the Tl'azt'en Nations Territories,indigenous ecotourism in central british columbia the potential for building capacity in the tlazten nations territories,Journal Article,"Nepal, Sanjay K.",Journal of Ecotourism,2004,Portal
Reconciling self-sufficiency and renewable energy targets in a hydro dominated system: The view from British Columbia,reconciling selfsufficiency and renewable energy targets in a hydro dominated system the view from british columbia,Journal Article,"Sopinka, Amy; Cornelis van Kooten, G.; Wong, Linda",Energy Policy,2013,Portal
Land use research and the duty to consult: a misrepresentation of the aboriginal landscape,land use research and the duty to consult a misrepresentation of the aboriginal landscape,Journal Article,"Natcher, David C",Land Use Policy,2001,Portal
Geomorphic and Ecological Consequences of Riprap Placement in River Systems,geomorphic and ecological consequences of riprap placement in river systems,Journal Article,"Reid, David; Church, Michael",JAWRA Journal of the American Water Resources Association,2015,Portal
"A Dynamical Climate Model–Driven Hydrologic Prediction System for the Fraser River, Canada",a dynamical climate modeldriven hydrologic prediction system for the fraser river canada,Journal Article,"Shrestha, Rajesh R.; Schnorbus, Markus A.; Cannon, Alex J.",Journal of Hydrometeorology,2015,Portal
Quantification of ventricular β2-adrenoceptor density and ligand binding affinity in wild sockeye salmon Oncorhynchus nerka smolts using a novel modification to the tritiated ligand technique,quantification of ventricular β2adrenoceptor density and ligand binding affinity in wild sockeye salmon oncorhynchus nerka smolts using a novel modification to the tritiated ligand technique,Journal Article,"Goulding, A. T.; Farrell, A. P.",Journal of Fish Biology,2016,Portal
