key,title,itemType,creators,date,DOI,url,collections,tags,abstractNote
V32CQ5WV,Texto completo,attachment,[],,,https://unbc.arcabc.ca/islandora/object/unbc%3A16893/datastream/PDF/view,[],[],
H52NRITE,"Potassium–argon ages of Topley Intrusions near Endako, British Columbia",journalArticle,"[{'firstName': 'Wm. H.', 'lastName': 'White', 'creatorType': 'author'}, {'firstName': 'A. J.', 'lastName': 'Sinclair', 'creatorType': 'author'}, {'firstName': 'J. E.', 'lastName': 'Harakal', 'creatorType': 'author'}, {'firstName': 'K. M.', 'lastName': 'Dawson', 'creatorType': 'author'}]",1970-08-01,10.1139/e70-110,http://www.nrcresearchpress.com/doi/abs/10.1139/e70-110,['MRW66E3Y'],[{'tag': 'Saturation search (2)'}],"Twenty-five potassium–argon ages were obtained from granitic rocks in the Endako area of central British Columbia which are presumed to be genetically related and known collectively as the Topley Intrusions. Most of the ages cluster around 138 m.y. but some are as old as 155 m.y. and one is only 114 m.y. These data might indicate either one protracted perhaps intermittent magmatic event culminating in early Upper Jurassic or three separate and unrelated events. In either case the isotopic age is some 40 m.y. less than the age previously assigned to the Topley Intrusions on a basis of apparently good geological evidence., non disponible"
LEBL4N67,,note,[],,,,[],[],
885HHILG,"Paleomagnetic Results from the Jurassic Topley Intrusions near Endako, British Columbia",journalArticle,"[{'firstName': 'D. T. A.', 'lastName': 'Symons', 'creatorType': 'author'}]",1973-07-01,10.1139/e73-095,http://www.nrcresearchpress.com/doi/abs/10.1139/e73-095,['MRW66E3Y'],[{'tag': 'Saturation search (2)'}],"The Upper Jurassic Topley Intrusions intrude rocks of the tectonically stable Interior Plateau in central British Columbia. A stable primary remanent magnetization of both normal and reversed polarity was isolated after a.f. demagnetization in 19 of 22 sites (109 cores; 208 specimens) representing several of the plutonic units present in this sialic complex of quartz monzonite affinity near Endako, B.C. The unit mean remanence directions support some petrological correlations suggested by Carr, Bright, and White et al., but do not support others. The pole position derived from 13 sites representing 6 plutonic units with a K–Ar radiomelric age of 139 ± 4 m.y. (White et al.) is 128.6 °E, 70.0 °N(δm = 14.4°; δp = 11.4°). This position indicates a smooth polar wander path during the Jurassic between the well defined Upper Triassic and Lower Cretaceous pole positions. It also indicates that the northern Interior Plateau has not been tectonically rotated or translated since emplacement relative to the stable No..., Les intrusions Topley (Jurassic supérieur), sont mises en place à travers les roches stables (tectoniquement) du Plateau intérieur en Colombie Britannique centrale. On a réussi a en mesurer un magnétisme rémanent primaire de polarité normale et inverse. Ceci a été réalisé après une démagnétisation (a.f.)dans 19 des 22 sites (109 carottes, 208 échantillons) qui représentent plusieurs des unités plutoniques présents dans ce complexe d'affinité monzonite quartzique près de Endako, C.B. La direction du magnétisme rémanent ainsi découvert, confirme les corrélations pétrologiques de Carr, Bright, et White et al. La position d u pôle déduite des mesures sur 13 sites représentant 6 unités plutoniques (139 ± 4 m.a. daté au K–Ar) (White el al.) est I2S.6 °E, 70.0 °N (δm = 14.4°; δp = 11.4°). Cette position indique un chemin de digression polaire lisse pendant le Jurassique entre le Trias supérieur d'une part et le Crétacé inférieur d'autre pan, qui sont solidement établis. Ceci indique aussi que le Plateau intérieu..."
6FBBWCKH,,note,[],,,,[],[],
CZWML4I5,"The geology and evolution of the Pinchi Fault Zone at Pinchi Lake, central British Columbia",journalArticle,"[{'firstName': 'I. A.', 'lastName': 'Paterson', 'creatorType': 'author'}]",1977-06-01,10.1139/e77-120,http://www.nrcresearchpress.com/doi/abs/10.1139/e77-120,['MRW66E3Y'],[{'tag': 'Saturation search (2)'}],"At Pinchi Lake, the Pinchi Fault Zone separates the early Mesozoic Takla Group to the east from the late Paleozoic Cache Creek Group to the west. Between these regions a complex fault system involves a series of elongate fault-bounded blocks of contrasting lithology and metamorphic grade. These blocks consist of: (a) highly deformed aragonite–dolomite limestone and blueschist, (b) pumpellyite–aragonite greenstone, (c) a harzburgite–gabbro–diabase–basalt ophiolite sequence, (d) serpentinized alpine ultramafite, and (e) Cretaceous (?) conglomerate. The blueschist probably formed at 8–12 kbar (8 × 105–12 × 105 kPa) and 225–325 °C during a penetrative early deformation which was closely followed by a later deformation associated with a Late Triassic uplift and cooling event. The ophiolite sequence is overlain by Late Triassic sediments which locally contain aragonite suggesting that at least part of the Takla Group may have also undergone high pressure – low temperature metamorphism.The evolution of the 450 k..., A Pinchi Lake, la zone de faille de Pinchi sépare le groupe de Takla du début du Mésozoïque à l'est et le groupe de Cache Creek datant de la fin du Paléozoïque à l'ouest. Entre ces deux régions, un système complexe de failles a produit une série de blocs allongés de lithologie contrastante et de grade métamorphique différent limités par des failles. Ces blocs ont les compositions suivantes : (a) calcaires à aragonite–dolomite hautement déformés et schistes bleus, (b) roches vertes à pumpellyite–aragonite, (c) une séquence ophiolitique harzburgite–gabbro–diabase–basalte, (d) une roche ultramafique alpine serpentinisée et (e) un conglomérat datant du Crétacé (?). Le schiste bleu s'est probablement formé à 8–12 kbar (8 × 105–12 × 105 kPa) et à 225–325 °C durant une déformation pénétrative initiale qui a été suivie de peu par une déformation ultérieure associée au soulèvement de la fin du Trias et un épisode de refroidissement. La séquence ophiolitique est recouverte par des sédiments de la fin du Trias qui l..."
VZ9ENHZR,,note,[],,,,[],[],
2Q6D4VUB,"Revised stratigraphy of the Takla Group, north-central British Columbia",journalArticle,"[{'firstName': 'J. W. H.', 'lastName': 'Monger', 'creatorType': 'author'}, {'firstName': 'B. N.', 'lastName': 'Church', 'creatorType': 'author'}]",1977-02-01,10.1139/e77-031,http://www.nrcresearchpress.com/doi/abs/10.1139/e77-031,['MRW66E3Y'],[{'tag': 'Saturation search (2)'}],"The Takla Group of north-central British Columbia as originally defined contained volcanic and sedimentary rocks of Late Triassic and Jurassic ages. As redefined herein, it consists of three formations in the McConnell Creek map-area. Lowest is the Dewar Formation, composed of argillite and volcanic sandstone that is largely the distal equivalent of basic flows and coarse volcaniclastic rocks of the Savage Mountain Formation. These formations are overlain by the volcaniclastic, basic to intermediate Moosevale Formation. These rocks are Upper Triassic (upper Karnian and lower Norian). They are unconformably overlain by Lower Jurassic rocks of the Hazelton Group., Le groupe de Takla, dans le centre nord de la Colombie-Britannique, dans sa définition originale comprenait des roches volcaniques et sédimentaires datant du Trias supérieur et duJurassique. Comme on le redéfinit ici, il comprend trois formations dans la région de McConnell Creek. A la base on retrouve la formation de Dewar, composée d'argillite, de grès volcaniques qui sont à peu près l'équivalent distal des coulées basiques et des roches volcaniclastiques grenues de la formation de Savage Mountain. Ces formations sont recouvertes par les roches volcaniclastiques basiques et intermédiaires de la formation de Moosevale. Ces roches datent du Triassupérieur (Karnien supérieur et Norien inférieur). Elles sont finalement recouvertes en discordance par les roches du groupe de Hazelton datant du Jurassique inférieur. [Traduit par le journal]"
IBM5UCLC,,note,[],,,,[],[],
MAMA7XD5,The Copper Status of Soils and Forage in the Vanderhoof-Fort Fraser Area of British Columbia,journalArticle,"[{'firstName': 'L. E.', 'lastName': 'Lowe', 'creatorType': 'author'}, {'firstName': 'I. H.', 'lastName': 'Milne', 'creatorType': 'author'}]",1979-08-01,10.4141/cjss79-036,http://www.nrcresearchpress.com/doi/abs/10.4141/cjss79-036,['MRW66E3Y'],[{'tag': 'Saturation search (2)'}],"An area in North Central B.C. has been characterized as having unusually low levels of DTPA-extractable soil Cu, and of Cu in grass and legume forage materials, in relation to other agricultural areas in B.C. The results account for the occurrence of Cu deficiency in cattle, and may contribute to difficulties in alfalfa production., non disponible"
YXJ75XD7,,note,[],,,,[],[],
3Q6YKD58,"Reconnaissance geochemistry of the nechako plateau, British Columbia, using lake sediments",journalArticle,"[{'firstName': 'S. J.', 'lastName': 'Hoffman', 'creatorType': 'author'}, {'firstName': 'W. K.', 'lastName': 'Fletcher', 'creatorType': 'author'}]",1976-03,10.1016/0375-6742(76)90038-8,http://www.sciencedirect.com/science/article/pii/0375674276900388,['MRW66E3Y'],[{'tag': 'Saturation search (2)'}],"A lake sediment geochemical survey was undertaken over the Nechako plateau, British Columbia, to test application of the technique to regional exploration and compare its effectiveness with results obtained elsewhere. Organic-rich lake sediment samples were collected towards the centre of approximately 500 lakes on a helicopter-assisted survey covering some 16,000 km2. Lakes overlying each of five major lithologies contain a distinctive suite of trace metals. Regional variations of Cu, Mo, Pb, Zn, Ni, Cr, Sr, Ba, Ag, Co, V and Ga can be related to differences in underlying geology. In addition, levels of Cu, Mo, Pb and Zn which exceed their regional thresholds are related to mineralization or lithologies favourable to mineralization. Although metal concentrations within a lake may vary up to 12x, anomalous conditions are not masked by this variability and the survey outlined all major sulphide occurrences known in the region."
FIFJMLEW,,note,[],,,,[],[],
QMB7XFD6,"Threats from within and threats from without: wet'suwet'en protesters, irregular asylum seekers and on-going settler colonialism in Canada",journalArticle,"[{'firstName': 'M', 'lastName': 'Perzyna', 'creatorType': 'author'}, {'firstName': 'H', 'lastName': 'Bauder', 'creatorType': 'author'}]",2022,10.1080/2201473X.2022.2030083,,['MRW66E3Y'],"[{'tag': 'RISK'}, {'tag': 'asylum'}, {'tag': 'CITIZENSHIP'}, {'tag': 'CRIMINALIZATION'}, {'tag': 'discourse'}, {'tag': 'DISCOURSE'}, {'tag': 'IMMIGRANTS'}, {'tag': 'INDIGENOUS PEOPLES'}, {'tag': 'irregular'}, {'tag': 'MEDIA'}, {'tag': 'media framing'}, {'tag': 'MIGRATION'}, {'tag': 'protest'}, {'tag': 'race and racism'}, {'tag': 'refugees'}, {'tag': 'Safe Third Country Agreement'}, {'tag': 'securitization'}, {'tag': 'settler colonialism'}, {'tag': 'SOCIETY'}, {'tag': 'SOVEREIGNTY'}, {'tag': ""Wet'suwet'en""}]","This paper addresses the 'immigrant-Aboriginal parallax gap' whereby material connections between immigration and Indigenous dispossession are rarely examined in tandem by considering ways in which the Canadian media frames Indigenous protesters and irregular asylum seekers. Building on the work of previous studies of Oka/Kanasatake, Ipperwash and Caledonia and irregular boat arrivals of Fujian and Tamil asylum seekers, it identifies similarities in the ways that each group has been racialized, criminalized, delegitimized and constructed as the 'Other'. Employing the theoretical frameworks of settler colonialism and securitization theory, it examines whether the same frames persist in contemporary representations using the case studies of Wet'suwet'en protesters and irregular asylum seekers crossing the Canada-US border at Roxham Road, Quebec. A comparative discourse analysis finds that the media continues to frame Indigenous protesters and irregular asylum seekers as threats to the 'rule of law' and the `common good'. These framings discredit and delegitimize human rights claims that challenge the legitimacy of settler colonial borders - including the right to peaceful protest and to claim asylum - turning them into threats to Canada's sovereignty, thus necessitating state action. We conclude that this discourse has the effect of reproducing the racialized injustices and inequalities of ongoing settler colonialism."
QHCPECNZ,,note,[],,,,[],[],
P88ZZA6T,The Wet'suwet'en Nation's Mobilization of Indigenous Focusing Oriented Therapy: An Exploratory Study,journalArticle,"[{'firstName': 'S', 'lastName': 'Panofsky', 'creatorType': 'author'}, {'firstName': 'MJ', 'lastName': 'Buchanan', 'creatorType': 'author'}, {'firstName': 'S', 'lastName': 'Alfred', 'creatorType': 'author'}, {'firstName': 'J', 'lastName': 'Brown', 'creatorType': 'author'}, {'firstName': 'D', 'lastName': 'George', 'creatorType': 'author'}, {'firstName': 'W', 'lastName': 'Naziel', 'creatorType': 'author'}, {'firstName': 'G', 'lastName': 'Woodman', 'creatorType': 'author'}, {'firstName': 'T', 'lastName': 'Brown', 'creatorType': 'author'}, {'firstName': 'R', 'lastName': 'Lewis', 'creatorType': 'author'}, {'firstName': 'SW', 'lastName': 'Tes', 'creatorType': 'author'}, {'firstName': 'L', 'lastName': 'Naziel', 'creatorType': 'author'}, {'firstName': 'J', 'lastName': 'Dumont', 'creatorType': 'author'}, {'firstName': 'J', 'lastName': 'Andrew', 'creatorType': 'author'}, {'firstName': 'A', 'lastName': 'Ferguson', 'creatorType': 'author'}, {'firstName': 'J', 'lastName': 'Hare', 'creatorType': 'author'}, {'firstName': 'R', 'lastName': 'John', 'creatorType': 'author'}]",2022,10.1177/00110000221146571,,['MRW66E3Y'],"[{'tag': 'HISTORICAL TRAUMA'}, {'tag': 'MENTAL-HEALTH'}, {'tag': 'decolonizing methodologies'}, {'tag': 'historical trauma'}, {'tag': 'Indigenous methodologies'}, {'tag': 'indigenous trauma interventions'}, {'tag': 'intergenerational trauma'}, {'tag': 'land-based healing'}, {'tag': 'PEOPLES'}, {'tag': 'sharing circles'}]","Indigenous mental health research is beginning to address colonization, however, Indigenous approaches to wellness have largely been overlooked. There is a paucity of research exploring psychological trauma interventions with Indigenous peoples. The Wet'suwet'en hereditary chiefs recognize the profound impacts of historical trauma among their people and are utilizing Indigenous focusing oriented therapy (IFOT), a trauma model that is collective, land-based, and intergenerational, as a part of their wellness framework. This collaborative research study explored the question: How is IFOT shaped by Wet'suwet'en ways of knowing and mobilized by individuals, families, house groups, and the Nation? Wet'suwet'en IFOT practitioners participated in sharing circles for data collection and interpretation. The exploratory findings revealed that the strategic application of IFOT by Wet'suwet'en hereditary chiefs created a culturally relevant model for land-based healing wherein Wet'suwet'en people were able to experience greater connection with their own yintah (land) and c'idede' (history)."
3UJGCJRG,,note,[],,,,[],[],
NADDKLCM,"Assesing Effects of climate variability and forest disturbance on annual streamflow of the Stellako Watershed, Canada",conferencePaper,"[{'firstName': 'ZP', 'lastName': 'Liu', 'creatorType': 'author'}, {'firstName': 'MF', 'lastName': 'Zhang', 'creatorType': 'author'}, {'firstName': 'SY', 'lastName': 'Deng', 'creatorType': 'author'}, {'firstName': 'YP', 'lastName': 'Hou', 'creatorType': 'author'}, {'firstName': 'YL', 'lastName': 'Xu', 'creatorType': 'author'}, {'firstName': 'H', 'lastName': 'Lian', 'creatorType': 'author'}, {'firstName': 'Y', 'lastName': 'Wang', 'creatorType': 'author'}, {'name': 'IEEE', 'creatorType': 'author'}]",2023,10.1109/IGARSS52108.2023.10281825,,['4EFHUEJI'],"[{'tag': 'Annual streamflow'}, {'tag': 'Climate and non-climate variabilities'}, {'tag': 'Forests'}, {'tag': 'Modified double mass curve'}, {'tag': 'Multivariate autoregressive integrated moving average'}, {'tag': 'Remote sensing analysis ready data and products'}, {'tag': 'Stellako watershed of Canada'}]","Climate variability and vegetation disturbance as critical driving factors significantly affect the regional hydrology in forested watersheds. Yet, due to landscape heterogeneities such as topography, soil characteristics, climate conditions, and vegetation types, hydrological responses to climate and forest changes and associated mechanisms have not been fully understood. The forested Stellako watershed, a typical forest-disturbed area in Canada, has been studied to assess the annual streamflow affected by climate variability and forest disturbance. The study period was from 1951 to 2018. The methods include the modified double mass curve (MDMC), Autoregressive Integrated Moving Average (ARIMA) intervention, and multivariate ARIMA. In the Stellako watershed, 1980 was identified as a breakpoint in the yearly time series between 1951 and 2018. The 1951-1979 period was considered the reference. From 1980 to 2018, the streamflow decreased by 14.69 and 26.18 mm due to climate and forest changes, respectively. The annual runoff variation was mainly attributed to forest disturbances contributing 60.78% of the total variations. Thus, a timely assessment of the runoff variety at a watershed scale has been obtained. The developed methodology can be applied to quantify the disturbance effects at a watershed or regional scale and develop watershed and forest management strategies under future climate and forest changes."
HRHYHDQM,Municipal entrepreneurialism: Can it help to mobilize resource-dependent small communities away from path dependency?,journalArticle,"[{'firstName': 'L', 'lastName': 'Ryser', 'creatorType': 'author'}, {'firstName': 'J', 'lastName': 'Barrett', 'creatorType': 'author'}, {'firstName': 'S', 'lastName': 'Markey', 'creatorType': 'author'}, {'firstName': 'G', 'lastName': 'Halseth', 'creatorType': 'author'}, {'firstName': 'K', 'lastName': 'Vodden', 'creatorType': 'author'}]",2023 SEP,10.1111/rsp3.12649,,['MRW66E3Y'],"[{'tag': 'rural'}, {'tag': 'CREATION'}, {'tag': 'municipal entrepreneurialism'}, {'tag': 'path dependency'}, {'tag': 'POLITICAL-ECONOMY'}, {'tag': 'reform'}, {'tag': 'TOURISM'}]","Small resource-based communities across Canada are experiencing rapid change within a volatile, fluctuating global economy. As communities seek to diversify their economies, they are enduring complex provincial and federal neoliberal policy environments that offer fewer funding resources while offloading more responsibilities onto local governments. Drawing upon the case studies of Burns Lake, British Columbia and Grand Falls-Windsor, Newfoundland and Labrador in Canada, we explore how small municipalities are using municipal enterprises to generate revenue and assets that may lead to new economic pathways. Our findings suggest that municipal entrepreneurial strategies are producing mixed success to break from past forest-sector dependencies. These small municipalities still struggle with developmental and operational risks, as well as debates about whether to use revenues to meet new municipal responsibilities and increased demands on aging infrastructure and services versus transformative change."
UMUZ5JKK,"Annual patterns of stratification, mixing and ventilation in long, deep, seasonally ice-covered Francois lake, British Columbia, Canada",journalArticle,"[{'firstName': 'S', 'lastName': 'Vagle', 'creatorType': 'author'}, {'firstName': 'E', 'lastName': 'Carmack', 'creatorType': 'author'}]",2023 FEB 21,10.3389/feart.2023.1090124,,['MRW66E3Y'],"[{'tag': 'TEMPERATURE'}, {'tag': 'CLIMATE-CHANGE'}, {'tag': 'CONVECTION'}, {'tag': 'CRATER LAKE'}, {'tag': 'deep lakes'}, {'tag': 'FRESH-WATER'}, {'tag': 'lake productivity'}, {'tag': 'mixing'}, {'tag': 'RESERVOIRS'}, {'tag': 'seasonal stratification'}, {'tag': 'SENTINELS'}, {'tag': 'ventilation'}, {'tag': 'WATER RENEWAL'}]","Francois Lake is a long, deep, seasonally ice-covered, dimictic lake set in an east-west orientation in mid-British Columbia. As a baseline we here present data from a full-depth temperature mooring deployed at the lake's mid-point in 2004-2005 and one full-depth conductivity-temperature-depth cast. We use these temperature records to define lake stability, scales of motion and the annual cycle of thermal stratification, mixing and deep-water ventilation. Owing to its length (110 km) both the Wedderburn and Lake numbers-indices of thermocline tilt and mixing under wind forcing-transition through critical values during fall and spring seasons, suggesting thermocline outcropping and strong turbulent mixing within the thermocline at these times. Owing to its depth (240 m) the decreasing temperature of maximum density (T-MD) with depth (thermobaric effect) adds complexity to overturn events. Owing to its seasonal ice cover (2-3 months per year) the critical period for effective fall ventilation occurs before ice formation and concurrent wind shielding, while that of spring ventilation lies between the dates that the ice cover melts and the lake surface water warms above 4?. While the lake undergoes full depth ventilation in both fall and spring, we show that both progress in distinct dynamical stages. Fall ventilation is more efficient than that of spring, and the transition temperature and resulting bottom temperature from fall to winter stratification (positive to inverse) and winter to spring stratification (inverse to positive) lies close to the temperature of maximum density calculated for the maximum depth of free and forced convection (in this case, closer to 3.7?)."
REECXA5D,Spatiotemporal distribution and trend analyses of atmospheric rivers affecting British Columbia's Nechako Watershed,journalArticle,"[{'firstName': 'BS', 'lastName': 'Sobral', 'creatorType': 'author'}, {'firstName': 'SJ', 'lastName': 'Déry', 'creatorType': 'author'}]",2023 NOV 30,10.1002/joc.8230,,['MRW66E3Y'],"[{'tag': 'SCALE'}, {'tag': 'IMPACTS'}, {'tag': 'PACIFIC'}, {'tag': 'Nechako River Basin'}, {'tag': 'atmospheric rivers'}, {'tag': 'hydroclimatic data'}, {'tag': 'trend analysis'}, {'tag': 'MOISTURE'}]","Research and shared interest in atmospheric rivers (ARs) have increased significantly in recent years, alongside technological improvements that allow better comprehension of these storms. The Nechako River Basin ( NRB) in British Columbia, Canada, is significantly affected by ARs originating in the Pacific Ocean. This work analyses the frequency, intensity, duration and trends of ARs in two regions (South and North) near the NRB. Analyses are based on data provided by an updated AR catalogue. The AR catalogue is matched on a daily scale to an adaptation of the AR scale to compile so-called AR-Days (ARDs). In the South region, ARDs exhibit stronger associations with hydroclimatic variables total precipitation, rain, snow and snow depth water equivalent (SWE). The Mann-Kendall (MK) trend test was applied to 364 time series created by combining the two closest AR-monitored regions to the NRB with the annual and seasonal scales of climate data and the adapted AR scale (ARD0-ARD5). Results show higher AR frequency of mainly beneficial ARDs during fall and a significant reduction of ARD1-ARD3 in both analysed regions. Rain and total precipitation related to ARD2- ARD3 also present significant decreasing trends for most sub- basins of the NRB. The MK test shows a shift in water contribution from total precipitation and rainfall linked to more potentially dangerous ARDs to short-duration, beneficial ARDs (ARD0). Rain from nonAR- related meteorological systems presents an increasing trend for the Upper Nechako sub-basin, where the Nechako Reservoir is located. Trends are mainly for AR-related total precipitation and rainfall, and in the northern part of the NRB, results point to the increase of AR-related SWE."
